id,article_id,source,first_property,middle_one,middle_two,second_property,destination,length,relevance_score,rarity_score,localPageRankMean,localHubMean,dbpediaPageRankMean,path_informativeness,path_pattern_informativeness,localPageViewMean
10204,130,Democratic_Party_(United_States),L:party,"Frank_Voelker,_Jr.",,R:relation,United_States_Senate,2,0.00947662148113,21143.5,0.13036417911,0.0285920316635,497.126893,0.382743078122,2.11021320035,7552.66666667
10205,130,Democratic_Party_(United_States),L:politicalPartyInLegislature,United_States_Congress,,R:house,United_States_Senate,2,0.0229849647303,340.5,0.13036417911,0.036256633073,715.357666667,0.312598716889,2.80336038091,8959.33333333
10206,130,Democratic_Party_(United_States),L:politicalPartyOfLeader,United_States_Congress,,R:house,United_States_Senate,2,0.0229849647303,458.5,0.13036417911,0.036256633073,715.357666667,0.342798788179,3.49650756147,8959.33333333
11219,133,Matteo_Renzi,R:birthPlace,,,,Italy,1,0.086450281655,680612,0.269461151724,0.014239333888,1242.756745,0.226363945176,3.4657359028,5266
11220,133,Matteo_Renzi,L:leader,,,,Italy,1,0.086450281655,3663,0.269461151724,0.014239333888,1242.756745,0.859588051378,3.4657359028,5266
11221,133,Matteo_Renzi,R:deputy,Lorenzo_Guerini,,R:birthPlace,Italy,2,0.090719452332,340698.5,0.188020617533,0.0158178573056,828.602156667,0.776194707913,3.4657359028,3514
11222,133,Matteo_Renzi,R:president,Sergio_Mattarella,,R:birthPlace,Italy,2,0.0782359732045,343210.5,0.232330209073,0.0176598492178,829.887513333,0.439691189279,3.4657359028,3656
11223,133,Matteo_Renzi,R:predecessor,Leonardo_Domenici,,R:birthPlace,Italy,2,0.0874008149835,347818.5,0.188020617533,0.0239848172648,828.599956333,0.552210274357,3.4657359028,3512
11224,133,Matteo_Renzi,R:almaMater,University_of_Florence,,R:country,Italy,2,0.0771953929425,341962,0.188020617533,0.0158178573056,831.468566667,0.761810142276,3.4657359028,3540
11225,133,Matteo_Renzi,R:birthPlace,Florence,,R:country,Italy,2,0.055780397877,657519,0.188020617533,0.0158178573056,924.451496667,0.485272435299,2.77258872224,4374.33333333
11226,133,Matteo_Renzi,R:predecessor,Province_of_Florence,,R:country,Italy,2,0.0732213107133,324725.5,0.195326496487,0.0158178573056,831.753493333,0.486406113463,3.4657359028,3530.33333333
11227,133,Matteo_Renzi,R:successor,Province_of_Florence,,R:country,Italy,2,0.0732213107133,338576.5,0.195326496487,0.0158178573056,831.753493333,0.486406113463,3.4657359028,3530.33333333
11228,133,Matteo_Renzi,R:birthPlace,Tuscany,,R:country,Italy,2,0.0543582548846,657519,0.188020617533,0.0158178573056,871.650496667,0.485272435299,2.77258872224,4036
11229,133,Matteo_Renzi,R:successor,Dario_Nardella,,R:nationality,Italy,2,0.0803544388116,70033.5,0.188020617533,0.0176598492178,828.769305333,0.654105540728,3.4657359028,3516
11230,133,Matteo_Renzi,R:predecessor,Leonardo_Domenici,,R:nationality,Italy,2,0.0874008149835,56182.5,0.188020617533,0.0239848172648,828.599956333,0.586686870031,3.4657359028,3512
11231,133,Matteo_Renzi,R:president,Sergio_Mattarella,,L:leader,Italy,2,0.0782359732045,4736,0.232330209073,0.0176598492178,829.887513333,0.894629750123,3.4657359028,3656
11232,133,Matteo_Renzi,L:primeMinister,Sergio_Mattarella,,L:leader,Italy,2,0.0782359732045,3680.5,0.232330209073,0.0176598492178,829.887513333,0.860765062613,3.4657359028,3656
11233,133,Matteo_Renzi,L:primeMinister,Federica_Mogherini,,R:birthPlace,Italy,2,0.0873308458757,342155,0.18071473858,0.0176598492178,830.57805,0.405826501769,1.38629436112,3622
11234,133,Matteo_Renzi,L:primeMinister,Sergio_Mattarella,,R:birthPlace,Italy,2,0.0782359732045,342155,0.232330209073,0.0176598492178,829.887513333,0.405826501769,1.38629436112,3656
11235,133,Matteo_Renzi,L:primeMinister,Lapo_Pistelli,,R:birthPlace,Italy,2,0.0754749854992,342155,0.18071473858,0.0176598492178,828.641374333,0.405826501769,1.38629436112,3512.33333333
11236,133,Matteo_Renzi,L:successor,Leonardo_Domenici,,R:birthPlace,Italy,2,0.0874008149835,361669.5,0.188020617533,0.0239848172648,828.599956333,0.262316868453,3.4657359028,3512
11237,133,Matteo_Renzi,L:primeMinister,Dario_Franceschini,,R:birthPlace,Italy,2,0.0905513777086,342155,0.18071473858,0.0176598492178,828.957703333,0.405826501769,1.38629436112,3520.66666667
11238,133,Matteo_Renzi,L:primeMinister,Roberta_Pinotti,,R:birthPlace,Italy,2,0.0837310176431,342155,0.18071473858,0.0176598492178,828.764198667,0.405826501769,1.38629436112,3530.66666667
11239,133,Matteo_Renzi,L:primeMinister,Paolo_Gentiloni,,R:birthPlace,Italy,2,0.0813510497852,342155,0.18071473858,0.0176598492178,828.808107333,0.405826501769,1.38629436112,3526
11240,133,Matteo_Renzi,L:primeMinister,Angelino_Alfano,,R:birthPlace,Italy,2,0.0774462885055,342155,0.18071473858,0.0176598492178,829.236176667,0.405826501769,1.38629436112,3528.33333333
11241,133,Matteo_Renzi,L:firstLeader,"European_Parliament_election,_2014_(Italy)",,R:country,Italy,2,0.0503257899129,317631,0.18071473858,0.0176598492178,829.33468,0.391634797104,2.07944154168,3528.33333333
11242,133,Matteo_Renzi,L:firstLeader,"Italian_local_elections,_2014",,R:country,Italy,2,0.0746864447082,317631,0.18071473858,0.0176598492178,828.570904667,0.391634797104,2.07944154168,3512.33333333
